sdss designation,redshift,angular sep,proper sep,sdss r band
J091339.47+295934.7,0.0225,187.5,81.2,12.47
J091400.81+414459.7,0.1527,36.9,97.9,16.24
J091401.31+414423.5,0.1538,36.9,97.9,17.35
J091413.13+151659.7,0.1996,27.4,90.4,17.59
J091413.81+151725.2,0.2003,27.4,90.4,17.13
J091434.34+300827.1,0.0229,173.6,80.1,13.14
J091442.18+301034.7,0.0245,173.6,80.1,14.43
J091443.89+164905.0,0.0904,45.6,76.9,17.19
J091445.28+164945.5,0.0901,45.6,76.9,16.64
J091456.41+314043.4,0.1275,31.3,71.3,17.41
J091457.66+314108.5,0.1278,31.3,71.3,17.06
J091522.15+385635.0,0.0801,53.7,81.2,16.69
J091522.41+385541.5,0.0796,53.7,81.2,15.51
J091543.02+300914.0,0.1296,19.3,44.6,17.35
J091544.19+300922.0,0.1298,19.3,44.6,16.47
J091555.00+100757.1,0.0313,109.6,67.7,13.88
J091555.31+100607.6,0.0309,109.6,67.7,17.19
J091557.41+173446.4,0.0305,75.5,44.5,14.7
J091601.79+173523.4,0.0294,75.5,44.5,13.09
J091637.68+305419.4,0.0232,72.3,33.9,14.46
J091641.85+305455.5,0.0232,72.3,33.9,12.96
J091645.02+272150.9,0.0471,71.4,65.7,16.66
J091646.24+330310.8,0.062,65.3,78.1,15.47
J091647.80+494649.4,0.0286,85.7,49.1,13.5
J091649.30+272119.7,0.0469,71.4,65.7,15.31
J091649.96+330344.8,0.0628,65.3,78.1,16.23
